lot_id,die_id,parameter,candidate_limit,simulated_fail,proximity,source_status,die_max,die_min,selection_scope
DTL_CENTER_001,DTL_CENTER_001_D001,ir_drop,40.0,0,SAFE,FAIL,26.697607881289617,20.25956649201346,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D002,ir_drop,40.0,0,SAFE,FAIL,24.284326632247428,18.66567381144881,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D003,ir_drop,40.0,0,SAFE,FAIL,28.23303685729185,19.859153753048748,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D001,ir_drop,40.0,0,SAFE,FAIL,27.56595235617632,21.32272600744696,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D002,ir_drop,40.0,0,SAFE,FAIL,25.405242320549505,19.16877376321276,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D003,ir_drop,40.0,0,SAFE,FAIL,25.70968667466125,19.36227539141961,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D001,ir_drop,40.0,0,SAFE,FAIL,29.14117787252899,22.565048388301147,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D002,ir_drop,40.0,0,SAFE,FAIL,28.548644611396544,21.668745795357907,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D003,ir_drop,40.0,0,SAFE,FAIL,36.01956181421083,29.899026629027293,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D001,ir_drop,40.0,0,SAFE,FAIL,26.992115146726817,20.52893765656141,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D002,ir_drop,40.0,0,SAFE,FAIL,30.01509852359097,23.52407154281238,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D003,ir_drop,40.0,0,SAFE,FAIL,30.8352519997556,23.49598193543469,independent_selected
DTL_NORM_001,DTL_NORM_001_D001,ir_drop,40.0,0,SAFE,FAIL,28.0732255715239,22.61481719037366,independent_selected
DTL_NORM_001,DTL_NORM_001_D002,ir_drop,40.0,0,SAFE,FAIL,30.1799617658004,20.28704551779667,independent_selected
