lot_id,die_id,parameter,candidate_limit,simulated_fail,proximity,source_status,die_max,die_min,selection_scope
DTL_CENTER_001,DTL_CENTER_001_D001,ir_drop,35.0,0,SAFE,PASS,24.44070710303989,18.557724468067512,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D002,ir_drop,35.0,0,SAFE,PASS,21.73954151669153,17.14002176605998,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D003,ir_drop,35.0,0,SAFE,PASS,24.98323795661234,17.998236363963034,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D001,ir_drop,35.0,0,SAFE,FAIL,25.018950017813644,19.50394110231393,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D002,ir_drop,35.0,0,SAFE,PASS,24.657052202656068,17.523461163827182,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D003,ir_drop,35.0,0,SAFE,PASS,22.89667387975077,18.57576224705498,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D001,ir_drop,35.0,0,SAFE,FAIL,26.31550213293602,21.315362727463825,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D002,ir_drop,35.0,0,SAFE,FAIL,25.52977182305021,20.594659836568148,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D003,ir_drop,35.0,0,SAFE,FAIL,27.91005615601807,22.57147105547897,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D001,ir_drop,35.0,0,SAFE,FAIL,26.568312774586744,18.633465902071016,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D002,ir_drop,35.0,0,SAFE,FAIL,27.7466804777192,22.56331926064382,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D003,ir_drop,35.0,0,SAFE,FAIL,27.344383301442846,22.229089569572388,independent_selected
DTL_NORM_001,DTL_NORM_001_D001,ir_drop,35.0,0,SAFE,FAIL,25.620592130604365,21.04431038689244,independent_selected
DTL_NORM_001,DTL_NORM_001_D002,ir_drop,35.0,0,SAFE,PASS,22.68644494210138,18.54664364761753,independent_selected
DTL_NORM_001,DTL_NORM_001_D003,ir_drop,35.0,0,SAFE,FAIL,26.88633391362549,19.02902403760841,independent_selected
DTL_NORM_002,DTL_NORM_002_D001,ir_drop,35.0,0,SAFE,FAIL,26.625839112380824,18.98324120799433,independent_selected
DTL_NORM_002,DTL_NORM_002_D002,ir_drop,35.0,0,SAFE,PASS,24.44049929574605,19.35536779489386,independent_selected
DTL_NORM_002,DTL_NORM_002_D003,ir_drop,35.0,0,SAFE,PASS,24.091626459013405,17.953628320400547,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D001,ir_drop,35.0,0,SAFE,FAIL,29.19353257176875,21.89607652404516,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D002,ir_drop,35.0,0,SAFE,FAIL,25.35603291536977,19.330000051086948,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D003,ir_drop,35.0,0,SAFE,FAIL,27.29605998397125,20.431868961879125,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D001,ir_drop,35.0,0,SAFE,FAIL,25.35988811657147,18.704172429675182,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D002,ir_drop,35.0,0,SAFE,FAIL,26.9157229831292,18.16113519262078,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D003,ir_drop,35.0,0,SAFE,PASS,21.809036871001307,15.721521300553896,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D001,thermal,70.0,0,SAFE,PASS,56.69666627078385,51.32143137751919,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D002,thermal,70.0,0,SAFE,PASS,56.8876006741873,50.90730812130968,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D003,thermal,70.0,0,SAFE,PASS,55.12605767294339,49.57530026467799,independent_selected
