domain,parameter,test_id,candidate_limit,current_limit,direction,unit,source_status,candidate_delta,candidate_delta_percent,tighten_or_loosen,total_dies,good_dies,violating_dies,simulated_yield,simulated_fail_rate,violation_rate,borderline_rate,risky_rate,false_fail_proxy,defective_proxy,objective_score,feasible,selection_status,die_policy,scope,notes
core,ir_drop,T_IR_DROP_MV,20.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-5.0,-20.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.375,0.0,-0.056249999999999994,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,21.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-4.0,-16.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.375,0.0,-0.056249999999999994,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,22.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-3.0,-12.0,TIGHTER,24,2,22,0.08333333333333333,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0,0.2916666666666667,0.0,-0.02708333333333334,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,23.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-2.0,-8.0,TIGHTER,24,4,20,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.5,0.20833333333333334,0.0,0.06874999999999999,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,24.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-1.0,-4.0,TIGHTER,24,4,20,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.041666666666666664,0.25,0.20833333333333334,0.0,0.10208333333333333,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,25.0,25.0,UPPER,mV,SOURCE_CONFIRMED,0.0,0.0,CURRENT,24,9,15,0.375,0.625,0.625,0.20833333333333334,0.5555555555555556,0.0,0.0,0.20833333333333331,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,26.0,25.0,UPPER,mV,SOURCE_CONFIRMED,1.0,4.0,LOOSER,24,14,10,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.25,0.42857142857142855,0.0,0.20833333333333334,0.38333333333333336,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,27.0,25.0,UPPER,mV,SOURCE_CONFIRMED,2.0,8.0,LOOSER,24,19,5,0.7916666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.2631578947368421,0.0,0.4166666666666667,0.625,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,28.0,25.0,UPPER,mV,SOURCE_CONFIRMED,3.0,12.0,LOOSER,24,23,1,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.30434782608695654,0.0,0.5833333333333334,0.725,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,29.0,25.0,UPPER,mV,SOURCE_CONFIRMED,4.0,16.0,LOOSER,24,23,1,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08695652173913043,0.0,0.5833333333333334,0.8916666666666667,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,30.0,25.0,UPPER,mV,SOURCE_CONFIRMED,5.0,20.0,LOOSER,24,24,0,1.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.625,0.9666666666666667,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
