"production_month","production_month_label","month_index","lot_id","die_id","die_label","die_index","lot_category","condition_id","temperature_c","vdd_applied","test_mode","test_id","parameter","measurement_value","unit","limit_type","current_dtl","current_engineering_range","candidate_min","candidate_max","candidate_step","candidate_catalog","limit_source","pass_fail_condition","shared_process_severity","tester_id","generation_seed","generator_version","dataset_version","actual_die_version","population_version"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_RT_NOM",25,1,"NOMINAL","T_CONTACT_R","CONTACT_RESISTANCE",4.248352313673479,"ohm","UPPER",5,"NOT_DEFINED",3.5,10,"NOT_UNIFORM","3.5,4.0,4.5,5.0,5.5,6.0,7.0,8.0,10.0","SYNTHETIC_ASSUMED","P",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_RT_NOM",25,1,"NOMINAL","T_INTERCONNECT_R","INTERCONNECT_RESISTANCE",13.376425050243366,"ohm","UPPER",15,"NOT_DEFINED",11,25,"NOT_UNIFORM","11.0,12.0,13.0,14.0,15.0,16.0,18.0,20.0,25.0","SYNTHETIC_ASSUMED","P",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_RT_NOM",25,1,"NOMINAL","T_ON_R","ON_RESISTANCE",25.137315435796754,"ohm","UPPER",25,"NOT_DEFINED",18,50,"NOT_UNIFORM","18.0,20.0,22.0,25.0,28.0,30.0,35.0,40.0,50.0","SYNTHETIC_ASSUMED","F",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_RT_NOM",25,1,"NOMINAL","T_VMIN","VMIN",0.8486015803827575,"V","UPPER",0.85,"NOT_DEFINED",0.75,1,"NOT_UNIFORM","0.75,0.78,0.8,0.82,0.85,0.88,0.9,0.92,0.95,1.0","SYNTHETIC_ASSUMED","P",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_RT_NOM",25,1,"NOMINAL","T_VMAX","VMAX",1.1351742675870788,"V","LOWER",1.15,"NOT_DEFINED",1.05,1.25,"NOT_UNIFORM","1.05,1.08,1.1,1.12,1.15,1.18,1.2,1.22,1.25","SYNTHETIC_ASSUMED","F",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_RT_NOM",25,1,"NOMINAL","T_IDDQ","IDDQ",53.03873590441896,"uA","UPPER",50,"NOT_DEFINED",30,100,"NOT_UNIFORM","30.0,35.0,40.0,45.0,50.0,55.0,60.0,70.0,80.0,100.0","SYNTHETIC_ASSUMED","F",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_RT_NOM",25,1,"NOMINAL","T_SUPPLY_CURRENT","SUPPLY_CURRENT",107.96310812263631,"mA","UPPER",120,"NOT_DEFINED",90,200,"NOT_UNIFORM","90.0,100.0,110.0,120.0,130.0,140.0,150.0,170.0,200.0","SYNTHETIC_ASSUMED","P",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_HOT_NOM",85,1,"HOT","T_CONTACT_R","CONTACT_RESISTANCE",4.187635100873298,"ohm","UPPER",5,"NOT_DEFINED",3.5,10,"NOT_UNIFORM","3.5,4.0,4.5,5.0,5.5,6.0,7.0,8.0,10.0","SYNTHETIC_ASSUMED","P",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_HOT_NOM",85,1,"HOT","T_INTERCONNECT_R","INTERCONNECT_RESISTANCE",15.793807624853695,"ohm","UPPER",15,"NOT_DEFINED",11,25,"NOT_UNIFORM","11.0,12.0,13.0,14.0,15.0,16.0,18.0,20.0,25.0","SYNTHETIC_ASSUMED","F",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_HOT_NOM",85,1,"HOT","T_ON_R","ON_RESISTANCE",27.942480539958044,"ohm","UPPER",25,"NOT_DEFINED",18,50,"NOT_UNIFORM","18.0,20.0,22.0,25.0,28.0,30.0,35.0,40.0,50.0","SYNTHETIC_ASSUMED","F",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_HOT_NOM",85,1,"HOT","T_VMIN","VMIN",0.870740861835281,"V","UPPER",0.85,"NOT_DEFINED",0.75,1,"NOT_UNIFORM","0.75,0.78,0.8,0.82,0.85,0.88,0.9,0.92,0.95,1.0","SYNTHETIC_ASSUMED","F",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
"2026-01","January 2026",1,"DTL_NORM_001","DTL_NORM_001_D001","die_001",1,"NORMAL","COND_HOT_NOM",85,1,"HOT","T_VMAX","VMAX",1.0955530695836335,"V","LOWER",1.15,"NOT_DEFINED",1.05,1.25,"NOT_UNIFORM","1.05,1.08,1.1,1.12,1.15,1.18,1.2,1.22,1.25","SYNTHETIC_ASSUMED","F",1.7829188402208769,"TESTER_A",20260115,"temporal_parametric_v1.0.0","DTL_TEMPORAL_PARAMETRIC_V1","DTL_TEMPORAL_ACTUAL_DIE_V1","DTL_TEMPORAL_POPULATION_V1"
