domain,parameter,test_id,candidate_limit,current_limit,direction,unit,source_status,candidate_delta,candidate_delta_percent,tighten_or_loosen,total_dies,good_dies,violating_dies,simulated_yield,simulated_fail_rate,violation_rate,borderline_rate,risky_rate,false_fail_proxy,defective_proxy,objective_score,feasible,selection_status,die_policy,scope,notes
core,ir_drop,T_IR_DROP_MV,20.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-5.0,-20.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.25,0.0,-0.0375,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,21.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-4.0,-16.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.25,0.0,-0.0375,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,22.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-3.0,-12.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.25,0.0,-0.0375,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,23.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-2.0,-8.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.25,0.0,-0.0375,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,24.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-1.0,-4.0,TIGHTER,24,3,21,0.125,0.875,0.875,0.125,1.0,0.125,0.0,0.006249999999999995,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,25.0,25.0,UPPER,mV,SOURCE_CONFIRMED,0.0,0.0,CURRENT,24,6,18,0.25,0.75,0.75,0.20833333333333334,0.8333333333333334,0.0,0.0,0.08333333333333331,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,26.0,25.0,UPPER,mV,SOURCE_CONFIRMED,1.0,4.0,LOOSER,24,7,17,0.2916666666666667,0.7083333333333334,0.7083333333333334,0.08333333333333333,0.2857142857142857,0.0,0.041666666666666664,0.22500000000000003,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,27.0,25.0,UPPER,mV,SOURCE_CONFIRMED,2.0,8.0,LOOSER,24,9,15,0.375,0.625,0.625,0.125,0.3333333333333333,0.0,0.125,0.275,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,28.0,25.0,UPPER,mV,SOURCE_CONFIRMED,3.0,12.0,LOOSER,24,13,11,0.5416666666666666,0.4583333333333333,0.4583333333333333,0.16666666666666666,0.3076923076923077,0.0,0.2916666666666667,0.4083333333333333,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,29.0,25.0,UPPER,mV,SOURCE_CONFIRMED,4.0,16.0,LOOSER,24,16,8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.20833333333333334,0.3125,0.0,0.4166666666666667,0.49999999999999994,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,30.0,25.0,UPPER,mV,SOURCE_CONFIRMED,5.0,20.0,LOOSER,24,20,4,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.25,0.0,0.5833333333333334,0.6666666666666667,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
