"production_month","lot_id","die_id","parameter","parameter_display","candidate_limit","simulated_yield","safety_status","eligible","in_policy_gate_set","ml_score","ml_rank","is_current","is_selected","model_used","decision"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",50,1,"PASS",true,true,0.8410208225250244,1,false,true,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",55,1,"PASS",true,true,0.8403281569480896,2,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",45,1,"PASS",true,true,0.8395354747772217,3,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",60,1,"PASS",true,true,0.8388528823852539,4,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",65,1,"PASS",true,true,0.8374393582344055,5,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",25,0.375,"PASS",true,true,0.16137734055519104,15,true,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",70,,"NOT_IN_GATE_SET",false,false,0.8368767499923706,6,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",72,,"NOT_IN_GATE_SET",false,false,0.8368143439292908,7,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",40,,"NOT_IN_GATE_SET",false,false,0.834644079208374,8,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",35,,"NOT_IN_GATE_SET",false,false,0.8104486465454102,9,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",30,,"NOT_IN_GATE_SET",false,false,0.6900633573532104,10,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",29,,"NOT_IN_GATE_SET",false,false,0.6190347075462341,11,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",28,,"NOT_IN_GATE_SET",false,false,0.5033437609672546,12,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",27,,"NOT_IN_GATE_SET",false,false,0.3915749490261078,13,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",26,,"NOT_IN_GATE_SET",false,false,0.2957426905632019,14,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",24,,"NOT_IN_GATE_SET",false,false,0.034714773297309875,16,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",23,,"NOT_IN_GATE_SET",false,false,-0.004581587389111519,17,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",22,,"NOT_IN_GATE_SET",false,false,-0.022813113406300545,18,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",21,,"NOT_IN_GATE_SET",false,false,-0.03626110404729843,19,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","ir_drop","IR_DROP_MV",20,,"NOT_IN_GATE_SET",false,false,-0.041761331260204315,20,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",92,1,"PASS",true,true,0.9386199116706848,1,false,true,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",90,1,"PASS",true,true,0.9359836578369141,2,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",85,1,"PASS",true,true,0.9268972873687744,3,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",80,1,"PASS",true,true,0.913115918636322,4,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",75,1,"PASS",true,true,0.8917725682258606,5,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",60,0.875,"PASS",true,true,0.26678454875946045,12,true,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",70,,"NOT_IN_GATE_SET",false,false,0.8612607717514038,6,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",65,,"NOT_IN_GATE_SET",false,false,0.8022480010986328,7,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",64,,"NOT_IN_GATE_SET",false,false,0.7747615575790405,8,false,false,"core_gru_temporal_v1","RECOMMEND"
"2026-01","DTL_NORM_001","DTL_NORM_001_D001","thermal","THERMAL_C",63,,"NOT_IN_GATE_SET",false,false,0.7160631418228149,9,false,false,"core_gru_temporal_v1","RECOMMEND"
